version 1.000000
type 1
element vertex 35947
vertex: -0.0324333 0.126109 0.00355422
vertex: -0.0633574 0.155908 0.0123853
vertex: 0.0314417 0.115539 0.0270138
vertex: 0.0308488 0.116432 0.0267923
vertex: -0.0295173 0.175738 -0.0052542
vertex: 0.0396492 0.0970274 -0.00677557
vertex: -0.0715237 0.165101 -0.0167379
vertex: -0.0725643 0.165173 -0.0170441
vertex: -0.00749309 0.122405 0.0352331
vertex: -0.008499 0.12243 0.035017
vertex: 0.0289099 0.0929198 0.0437028
vertex: -0.0135013 0.163627 -0.011822
vertex: -0.0434958 0.166715 0.00391556
vertex: -0.0302474 0.125253 0.00290344
vertex: -0.0427308 0.169809 0.000879537
vertex: -0.0205091 0.112696 0.0389743
vertex: -0.0905331 0.135117 0.0212107
vertex: -0.0765896 0.172837 -0.038783
vertex: -0.0764984 0.127442 0.0532158
vertex: -0.0194912 0.112675 0.0392933
vertex: -0.0864902 0.103559 0.00540359
vertex: -0.0500639 0.141673 0.0143962
vertex: 0.0370668 0.109719 0.0231776
vertex: 0.0322675 0.102123 0.0362847
vertex: -0.0344941 0.171246 -0.000779029
vertex: -0.0764811 0.141399 0.0471717
vertex: -0.0764751 0.146968 0.0421376
vertex: -0.0394762 0.17111 0.000601324
vertex: 0.0391769 0.106978 0.0201683
vertex: -0.085121 0.108927 0.00536277
vertex: 0.0452897 0.0861791 0.0201631
vertex: 0.0172248 0.12732 0.0217261
vertex: -0.000517251 0.0386237 0.0468325
vertex: 0.00049898 0.0385943 0.0466363
vertex: 0.00148534 0.0385845 0.0464325
vertex: 0.00248248 0.0385592 0.0461627
vertex: -0.0157632 0.12799 0.00385748
vertex: -0.0725199 0.141421 0.0466976
vertex: -0.0504991 0.156412 0.0101915
vertex: -0.0907438 0.135107 0.0202099
vertex: -0.0754962 0.141423 0.0471972
vertex: -0.0355139 0.176726 -0.00796363
vertex: 0.0406665 0.105637 0.00516291
vertex: -0.0920359 0.126943 0.0332532
vertex: 0.037492 0.0983062 -0.0097724
vertex: 0.0404914 0.098527 -0.00482713
vertex: 0.0418428 0.0986036 -0.00180869
vertex: 0.0306552 0.102095 0.0374778
vertex: 0.0457525 0.0862068 0.0131643
vertex: -0.0305333 0.178655 -0.00565353
vertex: -0.028415 0.178753 -0.00594863
vertex: -0.0714932 0.121802 0.0535223
vertex: -0.0725041 0.146981 0.0423864
vertex: -0.0610006 0.129721 0.0398956
vertex: 0.0426086 0.0930422 0.0261716
vertex: -0.00885946 0.13031 0.0150517
vertex: -0.0173344 0.128368 0.0119773
vertex: -0.0313084 0.126018 0.00688499
vertex: -0.0700706 0.155642 0.00707306
vertex: 0.012157 0.123544 0.032833
vertex: -0.0093317 0.127279 0.0279745
vertex: -0.0657234 0.153927 0.0319321
vertex: -0.0717789 0.154685 0.0298089
vertex: 0.0193029 0.12103 0.032512
vertex: -0.0425159 0.17187 -0.00332083
vertex: -0.0442176 0.170815 -0.00391429
vertex: -0.0574617 0.0399955 0.0466824
vertex: -0.0564911 0.0400264 0.0468768
vertex: -0.0554873 0.0400326 0.0469712
vertex: -0.0544992 0.0400332 0.0469658
vertex: -0.018505 0.112714 0.0394706
vertex: -0.0504965 0.157865 0.00943584
vertex: -0.0754858 0.146995 0.0422823
vertex: -0.0137239 0.16215 -0.0118322
vertex: -0.0735613 0.16372 -0.0149978
vertex: -0.0714997 0.16363 -0.0138384
vertex: 0.0386678 0.106943 0.0231645
vertex: 0.0390362 0.108381 0.0141662
vertex: 0.0421962 0.0929549 -0.00479827
vertex: -0.0454996 0.163749 0.00555272
vertex: -0.0435232 0.163746 0.00524284
vertex: -0.0424866 0.0396651 0.043393
vertex: -0.0415057 0.0396254 0.0430594
vertex: -0.0703661 0.16678 -0.0206717
vertex: -0.025416 0.0905129 0.0490114
vertex: -0.0352058 0.126987 0.0025067
vertex: -0.0872747 0.139127 0.00719289
vertex: -0.0147356 0.124887 0.0290085
vertex: -0.0360017 0.17408 -0.0118959
vertex: -0.089164 0.0928946 0.0114433
vertex: -0.033385 0.126374 0.00317306
vertex: 0.0192795 0.122165 0.0310901
vertex: -0.0646073 0.15754 -0.0113176
vertex: -0.0641033 0.156361 -0.011127
vertex: -0.0635915 0.15525 -0.0109401
vertex: -0.0631289 0.15403 -0.0107687
vertex: -0.0709666 0.138448 -0.00754922
vertex: -0.0705473 0.1414 0.0460484
vertex: -0.0755718 0.165165 -0.0201548
vertex: -0.0767116 0.165247 -0.022942
vertex: 0.0296197 0.117006 0.0277632
vertex: 0.0302544 0.115002 0.0294335
vertex: 0.0405971 0.101404 0.0241737
vertex: 0.0380609 0.108343 0.0221716
vertex: 0.0404422 0.105635 0.0151656
vertex: -0.0174953 0.112701 0.0395679
vertex: -0.073496 0.147014 0.0424214
vertex: -0.0734653 0.11597 0.0519419
vertex: 0.0134925 0.114016 0.0379994
vertex: 0.0124885 0.114028 0.0382457
vertex: -0.0826299 0.110259 0.0284001
vertex: 0.0417216 0.100008 -0.000812454
vertex: -0.077491 0.135849 0.0507593
vertex: -0.0164902 0.112704 0.0398029
vertex: -0.0154996 0.112736 0.0400881
vertex: -0.0354998 0.17123 0.000174393
vertex: -0.0364553 0.171237 0.000642707
vertex: -0.0375058 0.171208 0.000818011
vertex: -0.0384996 0.171162 0.000767348
vertex: -0.0619095 0.118087 -0.0102757
vertex: -0.070971 0.166609 -0.0480118
vertex: -0.091466 0.14613 0.0241501
vertex: -0.0144894 0.112737 0.0404341
vertex: -0.0134864 0.112741 0.0406725
vertex: -0.012499 0.112778 0.04085
vertex: 0.00148487 0.0399885 0.0464307
vertex: 0.00248698 0.0399628 0.0461692
vertex: 0.00347876 0.039945 0.0459765
vertex: -0.0215095 0.114043 0.0376946
vertex: -0.0903131 0.126767 0.00528424
vertex: 0.0104915 0.114065 0.0387753
vertex: -0.0766944 0.171427 -0.0358927
vertex: 0.0276403 0.118218 0.0284429
vertex: 0.0309816 0.102484 -0.0145328
vertex: 0.0424909 0.101472 0.00517268
vertex: 0.000497836 0.114196 0.0414191
vertex: -0.0675175 0.146991 0.0409028
vertex: 0.0424058 0.101483 0.00416631
vertex: 0.0405495 0.0999198 -0.00379356
vertex: -0.0724896 0.12743 0.0524304
vertex: -0.0415986 0.169934 0.00129157
vertex: -0.0145885 0.128899 0.00863716
vertex: 0.0043237 0.131753 0.0112849
vertex: -0.0635102 0.151152 0.0361873
vertex: 0.034591 0.113857 0.0224952
vertex: 0.0213151 0.0393899 0.0411211
vertex: 0.0175297 0.092684 0.048312
vertex: 0.00701986 0.131464 0.0165435
vertex: -0.0114796 0.112753 0.0411508
vertex: 0.0381875 0.10978 0.0131678
vertex: -0.0793995 0.0962934 -0.0095136
vertex: 0.0412927 0.101424 0.0211601
vertex: 0.0419266 0.101462 0.0171593
vertex: -0.0787984 0.113337 -0.0032043
vertex: -0.0779682 0.135412 -0.00525448
vertex: 0.00613123 0.105885 -0.0208912
vertex: 0.00913637 0.105871 -0.0204027
vertex: 0.0111199 0.129735 0.0223368
vertex: 0.00437534 0.131145 0.0198749
vertex: -0.00201716 0.131125 0.0175388
vertex: -0.0363521 0.126723 0.0183002
vertex: -0.0160775 0.128732 0.0124337
vertex: -0.0331235 0.126633 0.00621772
vertex: 0.00953758 0.128186 0.0275085
vertex: -0.0221316 0.122996 0.0264112
vertex: -0.0709341 0.162789 -0.0122264
vertex: -0.0620602 0.155611 0.00849054
vertex: -0.0468392 0.132859 0.0202702
vertex: -0.0410267 0.172571 -0.00282243
vertex: -0.0385594 0.173184 -0.00190958
vertex: -0.0141081 0.128922 0.00736661
vertex: -0.0574689 0.0413481 0.0461934
vertex: -0.0564742 0.041367 0.0464242
vertex: -0.0554898 0.041398 0.0465154
vertex: -0.0544756 0.0413314 0.0465715
vertex: -0.0534963 0.0413918 0.0463882
vertex: -0.0526044 0.041455 0.0460966
vertex: -0.0415348 0.163761 0.00444738
vertex: -0.00473635 0.13076 0.00793547
vertex: -0.0898767 0.135147 0.0252168
vertex: -0.00862433 0.122038 -0.0113292
vertex: -0.0475127 0.0411749 0.0444313
vertex: -0.0464937 0.0411703 0.0442462
vertex: -0.0454852 0.0411575 0.0440424
vertex: -0.0444852 0.0411138 0.0436529
vertex: -0.0434929 0.0410777 0.0433607
vertex: -0.0424856 0.0410553 0.0431368
vertex: -0.0414945 0.041025 0.0428519
vertex: -0.0620472 0.176838 -0.0608311
vertex: -0.0650951 0.162442 -0.0187197
vertex: -0.0336466 0.125738 0.0192922
vertex: -0.0806268 0.150792 0.0343829
vertex: -0.0650964 0.155112 0.00596226
vertex: -0.00214115 0.127727 0.0291435
vertex: -0.0897483 0.0929448 0.0154361
vertex: 0.0208676 0.121124 0.0316774
vertex: 0.0201038 0.121698 0.0313961
vertex: -0.0652623 0.158339 -0.0115587
vertex: -0.0319348 0.125225 0.000800634
vertex: -0.0328435 0.125555 0.000439943
vertex: -0.0337259 0.125903 0.000119567
vertex: -0.0346506 0.126197 -0.000232823
vertex: -0.0355882 0.126454 -0.000576513
vertex: -0.0838755 0.106118 0.000396239
vertex: -0.0164965 0.114086 0.0389356
vertex: 0.0422361 0.101506 0.0151693
vertex: 0.0394332 0.101324 0.027167
vertex: 0.0402348 0.101386 0.0251818
vertex: 0.0395793 0.107012 0.0171684
vertex: -0.0524989 0.157892 0.00946562
vertex: -0.0494896 0.157875 0.00921755
vertex: -0.0485004 0.157854 0.0090451
vertex: -0.0104878 0.112778 0.0413082
vertex: -0.0374903 0.172653 -0.000576721
vertex: 0.0417828 0.101446 0.0181564
vertex: 0.0448261 0.0875458 0.0221634
vertex: -0.0300853 0.179019 -0.00589649
vertex: -0.0235755 0.157761 -0.0033973
vertex: -0.0226294 0.157855 -0.00422736
vertex: 0.0234635 0.12256 0.0268857
vertex: -0.00779065 0.130523 0.0125627
vertex: 0.04086 0.101423 0.0231764
vertex: 0.0382413 0.108427 0.0210592
vertex: -0.0275027 0.115261 0.0337596
vertex: -0.0255204 0.115294 0.0339151
vertex: -0.021518 0.115416 0.036565
vertex: -0.0205005 0.115412 0.03703
vertex: -0.0754994 0.115715 0.0515239
vertex: -0.000524008 0.041433 0.0467891
vertex: 0.000487446 0.041412 0.0465786
vertex: 0.00148054 0.0413996 0.0463959
vertex: 0.00248318 0.0413744 0.0461608
vertex: 0.00348805 0.0413645 0.0460201
vertex: 0.00450182 0.0413372 0.0458645
vertex: 0.00549603 0.0413259 0.0457036
vertex: 0.00648432 0.0413231 0.0455852
vertex: 0.00748602 0.041302 0.0454759
vertex: 0.00849456 0.0412846 0.0453159
vertex: -0.0504978 0.159322 0.00851944
vertex: -0.0484837 0.159357 0.00832828
vertex: -0.0464924 0.159333 0.00779524
vertex: -0.0094881 0.112787 0.0415502
vertex: -0.00849378 0.112803 0.0415796
vertex: -0.0755022 0.131669 0.0524935
vertex: 0.0269735 0.121605 0.0224835
vertex: -0.0609269 0.155849 0.0219449
vertex: -0.0175043 0.114096 0.0387143
vertex: 0.0303038 0.118886 0.0223059
vertex: 0.038029 0.105425 -0.00179734
vertex: -0.0824071 0.136209 -0.001703
vertex: 0.0380176 0.101228 -0.00786632
vertex: -0.00749383 0.112788 0.0415528
vertex: -0.0365049 0.169731 0.000981263
vertex: -0.0754975 0.123189 0.0531282
vertex: 0.0354525 0.106753 -0.0069512
vertex: -0.0714939 0.126019 0.0527835
vertex: 0.0377471 0.104052 -0.00484079
vertex: 0.0414464 0.101443 0.020163
vertex: 0.0459345 0.0862193 0.0101703
vertex: -0.0708515 0.0937008 -0.0159297
vertex: -0.0698326 0.0937229 -0.0162704
vertex: -0.0738109 0.0935956 -0.0146814
vertex: -0.071815 0.0936645 -0.0155813
vertex: -0.072824 0.0936306 -0.0150907
vertex: -0.0274399 0.180304 -0.00715734
vertex: -0.025431 0.180214 -0.00870569
vertex: 0.0102401 0.13009 0.0220074
vertex: -0.0554437 0.158541 0.0079523
vertex: -0.059742 0.156334 0.00641085
vertex: -0.0624591 0.155071 0.0054624
vertex: -0.0686509 0.155409 0.00612964
vertex: -0.0354711 0.126342 0.0186171
vertex: -0.023563 0.126621 0.00971624
vertex: -0.0340011 0.127005 0.00589371
vertex: -0.072851 0.148958 0.0401319
vertex: -0.0719375 0.16298 -0.0125698
vertex: -0.0469091 0.134066 0.0158053
vertex: -0.0697412 0.154452 0.0305168
vertex: -0.0772099 0.0954309 0.0368548
vertex: -0.0397448 0.172952 -0.00234724
vertex: -0.058497 0.0426323 0.0447374
vertex: -0.0574975 0.0426993 0.0453715
vertex: -0.0564882 0.042714 0.0457133
vertex: -0.0554949 0.0427291 0.0458455
vertex: -0.0544973 0.0427375 0.0458563
vertex: -0.0534987 0.0427392 0.045857
vertex: -0.0525195 0.0426931 0.0456595
vertex: -0.0372497 0.126436 -0.00264816
vertex: 0.0390771 0.099844 -0.00681802
vertex: -0.0875792 0.134961 0.00324767
vertex: -0.0484986 0.0425777 0.0442245
vertex: -0.0475009 0.0425468 0.0439593
vertex: -0.0465061 0.0425232 0.0438042
vertex: -0.0454992 0.0425256 0.0437126
vertex: -0.0445079 0.0424992 0.043443
vertex: -0.0435004 0.0424369 0.0431009
vertex: -0.0424905 0.0424327 0.0427417
vertex: -0.0414965 0.0424145 0.0425934
vertex: -0.040483 0.0423569 0.0419938
vertex: -0.0394907 0.0422995 0.0416287
vertex: -0.0384762 0.0423266 0.0418914
vertex: -0.0702433 0.163232 -0.0134117
vertex: -0.0693658 0.16286 -0.0130912
vertex: -0.0685971 0.162283 -0.0128033
vertex: -0.0678768 0.1616 -0.0125361
vertex: -0.0672213 0.1608 -0.0122924
vertex: -0.0665531 0.160013 -0.0120422
vertex: -0.0659186 0.159142 -0.0118027
vertex: -0.0310902 0.124844 0.00108587
vertex: -0.030417 0.0360576 0.0517185
vertex: -0.0285156 0.0433359 0.0513164
vertex: -0.0274517 0.043312 0.0519115
vertex: -0.0263289 0.0434924 0.0526862
vertex: -0.0254805 0.0434932 0.0531599
vertex: -0.0245014 0.043543 0.0534366
vertex: -0.023487 0.0435372 0.0536017
vertex: -0.0224934 0.0435545 0.0535652
vertex: -0.0215102 0.0435311 0.0534788
vertex: 0.00943169 0.130854 0.0188531
vertex: -0.0435085 0.165227 0.00470373
vertex: -0.0445007 0.165214 0.00483168
vertex: 0.0219297 0.123716 0.0263137
vertex: -0.0237608 0.156715 -0.0053038
vertex: -0.00664529 0.1307 0.0129838
vertex: -0.0145323 0.043279 0.0510718
vertex: -0.0135206 0.0432479 0.0507363
vertex: -0.012539 0.0432081 0.0504383
vertex: -0.011518 0.0431769 0.0500228
vertex: -0.0105379 0.0431327 0.0497176
vertex: -0.0095237 0.0431051 0.0494016
vertex: -0.00853122 0.0430617 0.0490142
vertex: -0.0075399 0.0430305 0.0487452
vertex: -0.00654714 0.043 0.0484741
vertex: -0.00554666 0.0429634 0.0481135
vertex: -0.0045458 0.042944 0.0478735
vertex: -0.00354236 0.0429091 0.0474905
vertex: -0.00253313 0.0428829 0.047136
vertex: -0.00151689 0.0428507 0.0468014
vertex: -0.000523566 0.0428273 0.0465064
vertex: 0.000556364 0.0427979 0.0462128
vertex: 0.00148401 0.0427923 0.0460657
vertex: 0.00249537 0.0427747 0.0458993
vertex: 0.00349523 0.0427434 0.0456833
vertex: 0.00450037 0.0427385 0.0456181
vertex: 0.0055205 0.0427186 0.0455303
vertex: 0.00649466 0.0427198 0.0454361
vertex: 0.00748686 0.0427091 0.0452774
vertex: 0.00848754 0.0426921 0.0451471
vertex: 0.00949394 0.0426698 0.0450285
vertex: -0.0312712 0.125373 0.00251041
vertex: 0.0185111 0.114004 0.0370685
vertex: -0.0166719 0.128014 0.0194984
vertex: -0.00948977 0.114167 0.0408028
vertex: -0.0114786 0.114128 0.0403922
vertex: -0.0134888 0.11412 0.0398002
vertex: -0.0255274 0.113962 0.0353265
vertex: -0.0530543 0.14469 0.0223994
vertex: -0.0623396 0.172509 -0.0536126
vertex: -0.0381364 0.171203 -0.0118442
vertex: -0.0538885 0.131144 0.0343613
vertex: -0.065797 0.132562 0.0435297
vertex: 0.0425599 0.101502 0.0121632
vertex: 0.0269244 0.118903 0.0281816
vertex: -0.0384984 0.169734 0.00180247
vertex: -0.0355002 0.174151 -0.00180627
vertex: -0.0938575 0.120136 0.0242923
vertex: 0.0455621 0.0889987 0.00417598
vertex: -0.00649004 0.112763 0.0415025
vertex: -0.00548831 0.112771 0.0416249
vertex: -0.0768441 0.113421 -0.00459179
vertex: -0.0461647 0.162128 -0.00806097
vertex: -0.0411461 0.162173 -0.0113613
vertex: -0.0506704 0.0680761 0.0375114
vertex: -0.0358262 0.0929298 -0.0238031
vertex: -0.0368263 0.0929138 -0.0236695
vertex: -0.00449355 0.112805 0.041803
vertex: 0.0398162 0.107019 0.0141667
vertex: -0.0715276 0.14003 0.0472238
vertex: -0.0845757 0.151155 0.0298105
vertex: -0.00349089 0.112806 0.0419152
vertex: 0.00931098 0.130351 0.0216675
vertex: -0.0611888 0.155469 0.00589931
vertex: -0.0686715 0.165205 -0.0529941
vertex: -0.0657827 0.158229 -0.0103034
vertex: -0.0646035 0.156332 -0.00986181
vertex: -0.00112962 0.125371 0.0323555
vertex: -0.0248162 0.126254 0.00926143
vertex: -0.0388176 0.128112 0.00411022
vertex: -0.0747959 0.149331 0.0394056
vertex: 0.0112941 0.127457 0.0281604
vertex: -0.0707468 0.161979 -0.010709
vertex: 0.0184391 0.121423 0.0322194
vertex: -0.0677549 0.154168 0.0312275
vertex: -0.064733 0.15377 0.0322824
vertex: -0.0584936 0.0439589 0.0439647
vertex: -0.0574962 0.0440189 0.0444763
vertex: -0.0564899 0.0440403 0.0448345
vertex: -0.0554809 0.0440191 0.0450323
vertex: -0.0544952 0.0440117 0.0450302
vertex: -0.0535025 0.0440354 0.0449405
vertex: -0.0525152 0.0439969 0.0448982
vertex: -0.0515259 0.0439564 0.0445165
vertex: -0.0505573 0.0439128 0.0441317
vertex: -0.0495011 0.0439447 0.0438293
vertex: -0.0485184 0.0438796 0.0435224
vertex: -0.0475121 0.0438565 0.0432608
vertex: -0.0465128 0.0438401 0.043121
vertex: -0.0455024 0.0438631 0.0430524
vertex: -0.0445045 0.0438483 0.042919
vertex: -0.0435038 0.0438236 0.0424673
vertex: -0.0425002 0.0437706 0.0420539
vertex: -0.0414888 0.0437926 0.0421195
vertex: -0.0404988 0.043751 0.0418177
vertex: -0.039497 0.0436994 0.0413132
vertex: -0.0384894 0.0436513 0.0409963
vertex: -0.0143198 0.128437 0.0203415
vertex: -0.0229389 0.126187 0.00412352
vertex: -0.0241862 0.125789 0.00366503
vertex: -0.0255023 0.125351 0.00317915
vertex: -0.0266954 0.125077 0.00273937
vertex: -0.0278953 0.124828 0.00229374
vertex: -0.028881 0.124884 0.00195054
vertex: -0.0300707 0.124739 0.00148409
vertex: -0.0294793 0.0446083 0.0503994
vertex: -0.0284587 0.0446173 0.0507119
vertex: -0.0274798 0.0446461 0.0507675
vertex: -0.0264922 0.0447022 0.0511549
vertex: -0.0254758 0.0447668 0.0519525
vertex: -0.0244827 0.044849 0.0526821
vertex: -0.0234833 0.0448815 0.0530288
vertex: -0.0224929 0.0448955 0.0530527
vertex: -0.0215028 0.0448835 0.0530162
vertex: -0.0205217 0.0448565 0.0528623
vertex: -0.0195138 0.0448322 0.0525308
vertex: -0.0664988 0.146992 0.0401715
vertex: -0.0174883 0.044685 0.0517611
vertex: -0.0165095 0.0446732 0.0513338
vertex: -0.0155403 0.0446621 0.0510487
vertex: -0.0145231 0.0446315 0.0506096
vertex: -0.0135516 0.0445689 0.0502862
vertex: -0.0125497 0.0445369 0.0499253
vertex: -0.0115453 0.0445033 0.0495732
vertex: -0.0105391 0.0444694 0.0492224
vertex: -0.0095351 0.0444416 0.0488648
vertex: -0.00853579 0.044404 0.0484956
vertex: -0.00752629 0.0443832 0.0481509
vertex: -0.00652958 0.0443624 0.0478753
vertex: -0.0055195 0.0443362 0.047543
vertex: -0.00452146 0.0443187 0.0472734
vertex: -0.00351628 0.0442826 0.04692
vertex: -0.00251639 0.0442645 0.0466529
vertex: -0.00150749 0.0442279 0.0463824
vertex: -0.000506085 0.0442149 0.046198
vertex: 0.000494981 0.0442085 0.0460563
vertex: 0.00150093 0.0441835 0.0459725
vertex: 0.00250242 0.0441898 0.0459568
vertex: 0.00350312 0.0441648 0.0458711
vertex: 0.00450017 0.0441843 0.0459802
vertex: 0.00550628 0.0441375 0.0457857
vertex: 0.00650269 0.044152 0.0457422
vertex: 0.00751849 0.0440876 0.0454461
vertex: 0.00849016 0.0441134 0.0451901
vertex: 0.00949781 0.0440631 0.0448456
vertex: 0.0194908 0.113962 0.0368661
vertex: -0.000436317 0.122463 0.0356275
vertex: 0.00748358 0.11412 0.0398951
vertex: -0.010493 0.114167 0.0405696
vertex: -0.0124865 0.114128 0.0400495
vertex: -0.023546 0.114036 0.0366055
vertex: -0.0245515 0.114015 0.0358596
vertex: -0.0195083 0.11546 0.0373373
vertex: -0.0805239 0.148418 0.0381727
vertex: -0.0795053 0.148405 0.0389114
vertex: -0.0784976 0.148406 0.0395361
vertex: -0.0775017 0.148428 0.039927
vertex: -0.0444613 0.12936 0.0182577
vertex: -0.0804668 0.131637 0.0521945
vertex: -0.0514917 0.154976 0.0111
vertex: -0.0395009 0.16971 0.00189803
vertex: -0.0414861 0.169687 0.00162271
vertex: 0.0385319 0.0997972 -0.00779458
vertex: 0.0379028 0.0997575 -0.00879746
vertex: 0.0451983 0.0889806 0.0171667
vertex: 0.000137104 0.104495 -0.0221519
vertex: -0.0738111 0.0907253 -0.0150698
vertex: -0.0728162 0.0907583 -0.0154663
vertex: -0.0718188 0.0907915 -0.0158595
vertex: -0.070799 0.0908224 -0.0163205
vertex: -0.0688127 0.0908552 -0.0166124
vertex: -0.0698172 0.0908437 -0.0164973
vertex: -0.033107 0.125984 0.00180258
vertex: 0.0255618 0.120425 0.027665
vertex: -0.039513 0.166742 0.00312951
vertex: -0.0384463 0.166779 0.00239389
vertex: -0.00482205 0.130969 0.0150835
vertex: -0.0735195 0.135848 0.0500526
vertex: 0.00828872 0.130472 0.0213052
vertex: -0.015947 0.124632 0.0285893
vertex: -0.0661935 0.155092 0.00556387
vertex: -0.0651326 0.157423 -0.0100634
vertex: -0.0671177 0.159814 -0.0107973
vertex: -0.0222267 0.0906414 0.0528718
vertex: -0.0349319 0.127285 0.00554823
vertex: -0.0398081 0.128271 0.00374611
vertex: -0.0920085 0.116136 0.0393096
vertex: -0.00402267 0.0975528 0.0526596
vertex: -0.0669805 0.1589 -0.00929727
vertex: -0.0127755 0.126776 0.0267341
vertex: -0.0139293 0.126622 0.0263262
vertex: 0.047185 0.0692848 0.0242283
vertex: -0.0574743 0.0452883 0.0435332
vertex: -0.0564615 0.0452367 0.0437224
vertex: -0.0554801 0.0452738 0.0437595
vertex: -0.054487 0.0452173 0.0438312
vertex: -0.0535114 0.0452153 0.0437642
vertex: -0.052516 0.0452355 0.0436109
vertex: -0.0515128 0.0452783 0.043411
vertex: -0.0505103 0.0452467 0.0429196
vertex: -0.0495176 0.0451863 0.0426306
vertex: -0.0485029 0.0452121 0.0424266
vertex: -0.047499 0.0451812 0.0421654
vertex: -0.0464981 0.0451704 0.0419279
vertex: -0.0454982 0.045182 0.0420491
vertex: -0.044496 0.0451943 0.0419603
vertex: -0.0434918 0.0451945 0.0416496
vertex: -0.0424936 0.045133 0.0413379
vertex: -0.0414975 0.045132 0.0414403
vertex: -0.0404955 0.0451407 0.0414639
vertex: -0.0395021 0.0450562 0.0411081
vertex: -0.038496 0.0450464 0.0406484
vertex: -0.0375125 0.045091 0.0407522
vertex: -0.069527 0.156219 -3.70248e-05
vertex: -0.088156 0.151596 0.0228856
vertex: -0.0725884 0.155473 0.0265843
vertex: -0.0758153 0.155373 0.0254598
vertex: -0.00601771 0.0990415 0.0504631
vertex: 0.0296092 0.114943 -0.00583865
vertex: -0.0918829 0.116106 0.0333156
vertex: -0.0294372 0.045874 0.0494957
vertex: -0.02847 0.045966 0.0500228
vertex: -0.0274618 0.045988 0.0503593
vertex: -0.0264467 0.0459901 0.0505652
